txn_id,account,txn_date,category,merchant,amount,type
67,checking,2025-02-25,rent,Greystar Properties,1850.00,debit
68,checking,2025-02-26,dining,Sweetgreen,15.85,debit
69,checking,2025-02-27,transport,Uber,19.70,debit
70,checking,2025-02-28,utilities,ConEdison,131.40,debit
71,checking,2025-03-01,groceries,Whole Foods Market,88.55,debit
72,checking,2025-03-02,dining,Chipotle,13.65,debit
73,checking,2025-03-03,,Amazon,124.50,debit
74,checking,2025-03-04,health,Walgreens,22.30,debit
75,checking,2025-03-05,entertainment,Spotify,11.99,debit
76,checking,2025-03-06,transport,MTA Metrocard,33.00,debit
77,checking,2025-03-07,dining,Starbucks,6.50,debit
78,checking,2025-03-08,groceries,Trader Joe's,51.40,debit
79,savings,2025-03-08,interest,Chase Bank,4.45,credit
80,checking,2025-03-09,dining,Olive Garden,72.10,debit
81,checking,2025-03-10,income,Acme Corp Payroll,3250.00,credit
82,checking,2025-03-10,rent,Greystar Properties,1850.00,debit
83,checking,2025-03-11,transport,Shell Gas Station,40.95,debit
84,checking,2025-03-12,dining,Sweetgreen,16.10,debit
85,checking,2025-03-13,entertainment,Netflix,15.49,debit
86,checking,2025-03-14,groceries,Whole Foods Market,73.22,debit
87,checking,2025-03-15,,Apple,2.99,debit
88,checking,2025-03-16,dining,Shake Shack,15.40,debit
89,checking,2025-03-17,utilities,Verizon Wireless,72.00,debit
90,checking,2025-03-18,groceries,Trader Joe's,49.85,debit
91,checking,2025-03-19,transport,Uber,23.15,debit
92,checking,2025-03-20,health,CVS Pharmacy,31.20,debit
93,checking,2025-03-21,dining,Chipotle,14.10,debit
94,checking,2025-03-22,entertainment,AMC Theatres,22.50,debit
95,checking,2025-03-23,,Zelle Transfer,200.00,debit
96,checking,2025-03-24,groceries,Whole Foods Market,91.18,debit
97,checking,2025-03-25,income,Acme Corp Payroll,3250.00,credit
98,checking,2025-03-25,rent,Greystar Properties,1850.00,debit
99,checking,2025-03-26,dining,Sweetgreen,15.50,debit
100,checking,2025-03-27,utilities,ConEdison,109.75,debit
